Unique_vin;condition;year;make;model;trim;body;transmission;state;odometer;color;interior;seller;mmr;sellingprice;sale_time;Day_of_week;sale_date;Price_category;mileage_category;Car_type
1n4al3ap1fn326013;1;2015;Nissan;Altima;2.5 S;Sedan;automatic;ca;5554;gray;black;enterprise vehicle exchange / tra / rental / tulsa;15350;10900;12:00:00;Tue;Dec 30 2014;cheap;low_mileage;new
1g1pe5sb6e7118217;34;2014;Chevrolet;Cruze;2LT;Sedan;automatic;ca;40661;silver;black;avis corporation;13050;13000;03:30:00;Thu;Jan 22 2015;cheap;low_mileage;new
wauacgff6f1029938;2;2015;Audi;A3;1.8 TFSI Premium;Sedan;automatic;ca;31;white;black;enterprise vehicle exchange / tra / rental / tulsa;24200;17300;12:00:00;Tue;Dec 23 2014;cheap;low_mileage;new
5xyktca6xfg560888;5;2015;Kia;Sorento;LX;SUV;automatic;ca;14176;white;black;kia motors america  inc;20600;21250;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
wbayp9c55ed169261;4;2014;BMW;6 Series;650i;Convertible;automatic;ca;8037;black;black;the hertz corporation;67000;65000;12:30:00;Tue;Jan 06 2015;expensive;low_mileage;new
wbavm1c53evw47779;48;2014;BMW;X1;sDrive28i;SUV;automatic;ca;19689;white;black;financial services remarketing (lease);23700;26500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
1g1pe5sb8e7420706;2;2014;Chevrolet;Cruze;2LT;Sedan;automatic;ca;8154;silver;black;enterprise vehicle exchange / tra / rental / tulsa;14150;10000;12:00:00;Thu;Dec 18 2014;cheap;low_mileage;new
1g1pc5sbxe7113253;28;2014;Chevrolet;Cruze;1LT;Sedan;null;ca;40393;gray;black;avis corporation;11450;11700;15:00:00;Tue;Dec 30 2014;cheap;low_mileage;new
5xyktca61fg560973;48;2015;Kia;Sorento;LX;SUV;automatic;ca;13031;purple;black;kia motors america  inc;20600;20750;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
5npdh4ae9dh235016;49;2013;Hyundai;Elantra;GLS;Sedan;manual;ca;2606;white;beige;hyundai motor america/co car;13450;12300;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
5npeb4ac5dh771160;36;2013;Hyundai;Sonata;GLS;Sedan;automatic;ca;28231;gray;gray;gm financial;12650;13400;12:30:00;Wed;Dec 17 2014;cheap;low_mileage;new
5npec4ac6dh513954;37;2013;Hyundai;Sonata;Limited;Sedan;automatic;ca;35428;black;beige;hyundai motor finance;16000;16200;04:30:00;Tue;Jan 13 2015;cheap;low_mileage;new
jn1cv6ap6dm711376;35;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;25132;white;black;nissan infiniti lt;22600;23500;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
kmhct4ae3du421257;36;2013;Hyundai;Accent;GLS;Sedan;automatic;ca;41841;gray;beige;dtg operations inc;9425;9400;12:30:00;Tue;Dec 16 2014;cheap;low_mileage;new
5xyzwdla8dg094937;5;2013;Hyundai;Santa Fe;Sport 2.0T;SUV;automatic;ca;10747;black;black;hyundai motor america/co car;19850;25800;12:00:00;Tue;Dec 16 2014;cheap;low_mileage;new
jn1cv6ap0dm713933;43;2013;Infiniti;G Sedan;G37 Journey;G Sedan;automatic;ca;26396;gray;black;nissan infiniti lt;22500;23750;12:30:00;Thu;Dec 18 2014;cheap;low_mileage;new
